keyword_seed,intent,city,format,notes
curso excel presencial santiago,course,santiago,presencial,base excel presencial
curso excel santiago centro,course,santiago-centro,presencial,location variant
curso excel avanzado presencial,course,santiago,presencial,upskill variant
curso power bi presencial santiago,course,santiago,presencial,power bi line
curso office 365 presencial,course,santiago,presencial,office suite line
curso microsoft 365 empresas,b2b,santiago,hibrido,empresa y capacitacion corporativa
curso inteligencia artificial presencial,course,santiago,presencial,ai training line
curso IA para oficina,course,santiago,presencial,office productivity angle
curso computacion basica presencial,course,santiago,presencial,digital basics line
curso alfabetizacion digital presencial,course,santiago,presencial,entry digital skills
curso cajero bancario presencial,course,santiago,presencial,sector banking line
curso administrativo contable excel,course,santiago,presencial,admin and excel line
curso remuneraciones excel,course,santiago,presencial,payroll angle
curso logistica inventario excel,course,santiago,presencial,operations angle
curso atencion al cliente presencial,course,santiago,presencial,service skills line
