keyword,normalized_keyword,seed_group,seed_keywords,source,query_date,location,geo_target_id_sanitized,language,network,avg_monthly_searches,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,currency,monthly_searches_json,intent_category,commercial_intent,presential_intent,local_intent,beginner_intent,older_adult_explicit,employment_intent,software_download_risk,informational_risk,relevance_score,recommended_status,exclusion_reason,facts,assumptions,recommendation,notes
curso de office presencial,curso de office presencial,office_presencial,curso de office presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso office presencial santiago,curso office presencial santiago,office_presencial,curso office presencial santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,EXPLICIT,EXPLICIT_SANTIAGO,NOT_EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso office santiago,curso office santiago,office_presencial,curso office santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,NOT_EXPLICIT,EXPLICIT_SANTIAGO,NOT_EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso microsoft office presencial,curso microsoft office presencial,office_presencial,curso microsoft office presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de office presencial,clases de office presencial,office_presencial,clases de office presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
clases de office santiago,clases de office santiago,office_presencial,clases de office santiago,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,PRESENTIAL_LOCAL,HIGH,NOT_EXPLICIT,EXPLICIT_SANTIAGO,NOT_EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso office completo presencial,curso office completo presencial,office_presencial,curso office completo presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,70,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso office nivel básico,curso office nivel básico,office_presencial,curso office nivel básico,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,NOT_EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,65,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
curso office básico presencial,curso office básico presencial,office_presencial,curso office básico presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,HIGH,EXPLICIT,NOT_EXPLICIT,EXPLICIT,NO,NO,LOW,LOW,85,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
aprender office presencial,aprender office presencial,office_presencial,aprender office presencial,manual_seed_required,2026-07-24,Santiago de Chile (solicitado; no consultado),,Español (solicitado; no consultado),Google Search (solicitado; no consultado),,,,,,,null,CORE_HIGH_INTENT,LOW,EXPLICIT,NOT_EXPLICIT,NOT_EXPLICIT,NO,NO,LOW,LOW,55,INSUFFICIENT_DATA,,HECHO: semilla preparada; la API no devolvió métricas por scope OAuth insuficiente.,"SUPUESTO: clasificación y puntaje se infieren solo del texto, no de Google.",RECOMENDACIÓN: reconsultar Keyword Planner antes de priorizar o excluir.,Sin métricas Google; autenticación detenida antes de GenerateKeywordIdeas.
